startup_id,startup_name,industry,founding_year,city,employees,monthly_active_users,monthly_revenue,monthly_burn_rate,funding_raised_usd,funding_stage,business_model,remote_friendly,customer_rating,churn_rate,ai_adoption_score,profitable,growth_level
ST0001,"Williams, Chen and Cox",FinTech,2024,Kolkata,332,30184,134803.67,75158.18,11199376.37,Seed,B2B,True,4.3,0.27,70,True,Low
ST0002,"Hamilton, Stanley and Arellano",ClimateTech,2024,Mumbai,116,61990,2531722.89,593680.82,9981940.65,Seed,B2C,False,4.1,0.22,29,True,Medium
ST0003,"Martin, Bush and King",SaaS,2019,Bangalore,179,73842,785842.7,1135053.12,16862897.53,Series C,B2B,False,2.7,0.05,45,False,Low
ST0004,"Kennedy, Hall and Douglas",AI,2025,Delhi,45,145714,1472959.62,1498341.28,44278314.81,Series B,B2B,True,3.4,0.08,9,False,Medium
ST0005,Payne PLC,Cybersecurity,2025,Hyderabad,448,27476,1906829.86,1505315.17,41713815.81,Series A,B2C,True,2.9,0.15,86,True,Low
ST0006,Sanchez and Sons,AI,2018,Bangalore,241,100471,1357039.66,1903938.22,34423689.82,Series B,Subscription,False,3.0,0.14,99,False,Medium
ST0007,"Bell, Cunningham and Moore",ClimateTech,2017,Mumbai,38,56307,4566549.26,4280382.19,35909817.82,Series A,B2C,False,3.0,0.2,83,True,Medium
ST0008,Alvarez-Wilson,FinTech,2015,Hyderabad,387,154245,2147884.8,2058946.91,18131722.36,Series A,B2C,False,5.0,0.06,64,True,Medium
ST0009,Smith-Lopez,FinTech,2025,Ahmedabad,310,17653,1929988.89,1881073.24,23429091.89,Series B,Marketplace,True,3.1,0.23,2,True,Low
ST0010,Flynn Group,HealthTech,2023,Hyderabad,155,114971,799207.19,163213.22,36118498.46,Series B,B2C,True,4.3,0.39,98,True,Low
ST0011,"Goodman, Rose and Joseph",FinTech,2020,Mumbai,196,43349,2701501.36,3274798.91,26541165.93,Series A,B2B,True,2.5,0.14,3,False,Medium
ST0012,Williams Inc,HealthTech,2017,Noida,454,149729,4735277.73,1474326.3,24325223.64,Series A,Marketplace,False,2.7,0.31,99,True,High
ST0013,Adams Inc,E-commerce,2022,Ahmedabad,498,56521,4645278.33,5489997.83,34508888.22,Series C,B2B,True,4.3,0.17,86,False,High
ST0014,"Russell, Carter and Brennan",AI,2018,Hyderabad,120,17784,1697046.96,1637313.17,11544230.89,Seed,Marketplace,True,3.1,0.04,81,True,Medium
ST0015,Nelson-Morris,ClimateTech,2018,Noida,268,63391,1399601.55,1163123.26,26984734.87,Series C,B2C,True,4.3,0.35,74,True,Low
ST0016,Edwards-Shaffer,FinTech,2015,Kolkata,54,173748,2160945.4,1622118.44,23377882.17,Series B,B2B,True,4.3,0.27,83,True,Medium
ST0017,Martin LLC,ClimateTech,2023,Hyderabad,103,50862,2686065.91,1026713.74,9215227.39,Seed,B2B,True,3.7,0.35,10,True,Medium
ST0018,"Moreno, Simmons and Reid",HealthTech,2021,Bangalore,479,198542,4244991.71,1766784.41,24307774.22,Series C,Marketplace,False,3.0,0.17,8,True,High
ST0019,Parker Ltd,Cybersecurity,2018,Bangalore,151,111888,3485991.6,4007694.34,39178908.35,Seed,Marketplace,True,4.2,0.2,25,False,Medium
